file,suite,task,demo,num_samples,target_frame,base_xyz,mean_position_error,max_position_error,p95_position_error,p99_position_error
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_12,215,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00028084,0.00050454,0.00043667,0.00047009
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_13,190,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00029671,0.00052909,0.00048988,0.0005165
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_14,178,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00032744,0.00050834,0.00049972,0.00050753
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_15,185,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00030826,0.00054406,0.000521,0.00054102
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_16,249,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00033494,0.00050558,0.00049575,0.00050416
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_17,177,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00029591,0.00048752,0.00047866,0.00048611
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_18,184,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00029139,0.00047591,0.00046304,0.00047185
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_19,196,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00029665,0.00049631,0.00047109,0.00048552
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_2,284,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00032427,0.00055202,0.00051822,0.00054599
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_20,185,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00030347,0.00049558,0.00047541,0.00048508
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_21,170,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00032563,0.0005182,0.00050117,0.00051487
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_22,218,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00028229,0.00059498,0.00050533,0.00058881
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_23,200,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00031279,0.00051236,0.00048467,0.00050416
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_24,219,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00027334,0.00048905,0.00046179,0.00048191
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_25,188,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.0003018,0.0005056,0.00048737,0.00049954
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_26,229,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.0003031,0.00054023,0.00050028,0.00053042
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_27,184,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00030244,0.00050042,0.00047632,0.00049623
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_28,270,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00027619,0.00051985,0.00048473,0.00051225
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_29,202,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00031005,0.00059611,0.00054799,0.00058894
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_3,199,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.0003055,0.00054067,0.00050629,0.00053806
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_30,199,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00029189,0.00050327,0.00046029,0.00048868
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_31,206,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00028253,0.00054936,0.00048321,0.00054088
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_32,199,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00029632,0.00052406,0.00048614,0.00051276
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_33,203,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00029224,0.00052733,0.0004833,0.00052363
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_34,198,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00030553,0.00051435,0.00049309,0.00050437
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_35,186,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00029553,0.00047514,0.00044251,0.00046782
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_36,227,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00027807,0.00053119,0.00047716,0.000513
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_37,221,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00031246,0.00057202,0.00051152,0.00055823
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_38,183,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00033162,0.00050838,0.00049308,0.00050201
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_39,184,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.0003162,0.00050235,0.00048476,0.00048985
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_4,250,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00032325,0.00057798,0.000524,0.00056709
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_40,187,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00031196,0.0005151,0.00048197,0.00050649
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_41,178,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00031043,0.0004709,0.00046562,0.00046782
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_42,204,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00029662,0.0004925,0.00045931,0.0004853
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_43,194,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00028985,0.00048622,0.00046325,0.00048131
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_44,195,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00031387,0.00055935,0.00051988,0.0005577
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_45,219,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00029369,0.00051067,0.0004669,0.00050061
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_46,190,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00030361,0.0004924,0.00047583,0.00048175
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_47,251,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00027548,0.0005352,0.00048787,0.00052085
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_48,206,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00030413,0.00049754,0.00048436,0.00049449
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_49,209,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.0003014,0.00048368,0.00047022,0.00048252
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_5,176,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00033085,0.00051834,0.00048543,0.00051389
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_6,178,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00030524,0.0005524,0.00049081,0.00054572
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_7,202,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00030096,0.00051335,0.0004698,0.00049373
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_8,184,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00033303,0.00058428,0.00053174,0.000576
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_9,173,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.0003123,0.00055936,0.00051821,0.00055457
